종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"272550","삼양패키징","2599927","2940647","340720","36699358995","41371697025","4672338030"
"093240","형지엘리트","799360760","801435589","2074829","1967415062935","1972066433740","4651370805"
"015020","이스타코","226527059","228365775","1838716","355914022440","360565113097","4651090657"
"031430","신세계인터내셔날","23233626","23758112","524486","266653696925","271225320835","4571623910"
"005090","SGC에너지","3697488","3909732","212244","87940121175","92486877675","4546756500"
"007110","일신석재","825050351","825692549","642198","1944795465751","1949308669009","4513203258"
"070960","모나용평","76505659","77485671","980012","321126890396","325629390558","4502500162"
"002410","범양건영","209429181","210565824","1136643","692560594953","697022619939","4462024986"
"004430","송원산업","5607705","6131789","524084","64567859435","68888604830","4320745395"
"339770","교촌에프앤비","14677613","15639448","961835","76598176324","80783847220","4185670896"
"063160","종근당바이오","4313333","4490245","176912","100092125235","104185845130","4093719895"
"004830","덕성","89375498","89695756","320258","632866552896","636868772821","4002219925"
"005950","이수화학","86551086","86926315","375229","896431788392","900402210717","3970422325"
"013580","계룡건설","76141893","76139415","-2478","1736907945165","1740852004705","3944059540"
"058430","포스코스틸리온","13105813","13212918","107105","571486932125","575391549275","3904617150"
"001275","부국증권우","831911","990628","158717","22290498950","26159975800","3869476850"
"014990","인디에프","238996136","240777256","1781120","296529389671","300355560565","3826170894"
"020120","키다리스튜디오","77842132","78875888","1033756","304273422592","308071887919","3798465327"
"001210","금호전기","101733976","105340938","3606962","102139229671","105935237635","3796007964"
"001630","종근당홀딩스","682333","766063","83730","33443224900","37165500950","3722276050"
"012170","아센디오","171351037","172296573","945536","316814299972","320515679650","3701379678"
"293480","하나제약","3235230","3562356","327126","36999942445","40618034785","3618092340"
"003960","사조대림","3915135","3992751","77616","160193233850","163712307025","3519073175"
"109070","주성코퍼레이션","179504544","182678113","3173569","207992654975","211457391412","3464736437"
"000215","DL우","1357761","1507004","149243","33779586745","37220581000","3440994255"
"002310","아세아제지","28872534","29282933","410399","218505689875","221899687525","3393997650"
"002630","오리엔트바이오","1564368497","1564549606","181109","2510187032312","2513457446926","3270414614"
"068290","삼성출판사","6841602","7005333","163731","114364889005","117583784855","3218895850"
"025860","남해화학","18597090","19048519","451429","130495422340","133693662545","3198240205"
"372910","한컴라이프케어","111898505","112703229","804724","368064450059","371256979827","3192529768"
"102460","이연제약","7384951","7646825","261874","91300707526","94450754040","3150046514"
"396690","미래에셋글로벌리츠","8521951","9739514","1217563","22860550193","26003745106","3143194913"
"111380","동인기연","1869000","2076163","207163","28369544660","31475400410","3105855750"
"072710","농심홀딩스","7120419","7111976","-8443","783706557350","786752122400","3045565050"
"006370","대구백화점","7879294","8265670","386376","59296710515","62104411835","2807701320"
"118000","메타케어","271392437","278144867","6752430","95678514805","98453252086","2774737281"
"004980","성신양회","43131233","43431934","300701","451271958975","454011117310","2739158335"
"004380","삼익THK","45316145","45549227","233082","562847224100","565580033930","2732809830"
"000020","동화약품","8918613","9333173","414560","57032855630","59741424700","2708569070"
"28513K","SK케미칼우","1722714","1830209","107495","46903785155","49583983560","2680198405"
"465770","STX그린로지스","86781805","87040213","258408","874352583675","876997188305","2644604630"
"011150","CJ씨푸드","109684708","110456299","771591","332529300672","335132769900","2603469228"
"003550","LG","14039294","14318855","279561","1082537777750","1085113050100","2575272350"
"094280","효성ITX","8112236","8307334","195098","117915555800","120406832340","2491276540"
"008700","아남전자","338896043","340260750","1364707","568458275109","570891850562","2433575453"
"000650","천일고속","5225212","5226252","1040","1930569245325","1932992924325","2423679000"
"00279K","아모레퍼시픽홀딩스3우C","1183203","1318319","135116","24771273880","27182314200","2411040320"
"011700","한신기계","165109452","165562337","452885","644159256397","646500425438","2341169041"
"004140","동방","463653371","464265609","612238","1452279320866","1454587273524","2307952658"
"286940","롯데이노베이트","5097155","5235996","138841","115088822230","117368913525","2280091295"
"001750","한양증권","8619360","8762541","143181","156222968945","158500178955","2277210010"
"006740","블루산업개발","26605262","28951462","2346200","26938492258","29210588174","2272095916"
"350520","이지스레지던스리츠","6159154","6715085","555931","24745047255","26874797704","2129750449"
"002720","국제약품","32558433","32942624","384191","159690837612","161808161368","2117323756"
"001470","삼부토건","578258041","579787110","1529069","453114432452","455210984688","2096552236"
"363280","티와이홀딩스","26355649","27111563","755914","77455542494","79550138458","2094595964"
"002810","삼영무역","2064568","2192663","128095","31778341205","33838909670","2060568465"
"003547","대신증권2우B","6561125","6721345","160220","116461213460","118517514790","2056301330"
"010100","한국무브넥스","136608909","137111705","502796","678603728040","680591310642","1987582602"
"007160","사조산업","2929298","2994027","64729","147633845650","149607926550","1974080900"
"001780","알루코","113806761","114891938","1085177","253466356227","255438895068","1972538841"
"025620","차AI헬스케어","21505404","21546213","40809","223709364252","225675935755","1966571503"
"448730","삼성FN리츠","6308575","6815622","507047","28320956879","30286536955","1965580076"
"000157","두산2우B","807771","812441","4670","285097877050","287054158300","1956281250"
"006890","태경케미컬","5848599","6034212","185613","62647932595","64595265210","1947332615"
"102260","동성케미컬","20110715","20625220","514505","85473674614","87354039878","1880365264"
"002390","한독","3915007","4072295","157288","47839983055","49720118645","1880135590"
"077500","유니퀘스트","72528916","72784645","255729","516486976852","518343046826","1856069974"
"058650","세아홀딩스","321702","334346","12644","42240266200","44089750750","1849484550"
"010770","평화홀딩스","259671114","259340413","-330701","2146820970679","2148639199072","1818228393"
"007570","일양약품","10174015","10300527","126512","129452857455","131270371815","1817514360"
"012610","경인양행","104159003","104387673","228670","400699212908","402508506345","1809293437"
"004560","현대비앤지스틸","7664056","7829058","165002","95480343175","97156998985","1676655810"
"000230","일동홀딩스","52738409","52777444","39035","633692340950","635315292525","1622951575"
"003060","에이프로젠바이오로직스","117742050","120094036","2351986","81203859610","82810071157","1606211547"
"192650","드림텍","22621992","23029695","407703","154824154755","156429415170","1605260415"
"012690","모나리자","33597278","34062880","465602","95493220124","97080439617","1587219493"
"123690","한국화장품","88665379","88769251","103872","903769763840","905317237085","1547473245"
"001130","대한제분","364578","375572","10994","53183320700","54718294850","1534974150"
"357430","마스턴프리미어리츠","5739423","6827665","1088242","8644539097","10169622460","1525083363"
"016090","대현","16504920","17295328","790408","32589600745","34096221343","1506620598"
"009580","무림P&P","49666094","50138977","472883","148113938193","149540552455","1426614262"
"090370","메타랩스","77475180","77964307","489127","158558602808","159984786032","1426183224"
"023800","인지컨트롤스","10289733","10535502","245769","62719436560","64125621720","1406185160"
"143210","핸즈코퍼레이션","12765373","13588625","823252","21927732647","23306600655","1378868008"
"011300","성안머티리얼스","285881158","287569233","1688075","146633031432","147979929687","1346898255"
"010780","아이에스동서","5286158","5509191","223033","109366293425","110708574215","1342280790"
"004310","현대약품","257759096","258047757","288661","1498981839531","1500321075630","1339236099"
"403550","쏘카","1256972","1353175","96203","17170248790","18480321730","1310072940"
"004410","서울식품","651252609","659148672","7896063","106179800294","107466046215","1286245921"
"047400","유니온머티리얼","225292346","225489312","196966","475702737786","476982942536","1280204750"
"378850","화승알앤에이","48905101","49180796","275695","173288725095","174562423160","1273698065"
"002760","보락","54174386","55286634","1112248","58841638637","60113678491","1272039854"
"079430","현대리바트","4948836","5131674","182838","35937368645","37187424795","1250056150"
"200880","서연이화","20051581","20184450","132869","251951930540","253187032265","1235101725"
"017550","수산세보틱스","23851134","24745369","894235","45617966895","46852661688","1234694793"
"101530","해태제과식품","10886849","11029374","142525","79071234980","80303285550","1232050570"
"005250","녹십자홀딩스","6669481","6823341","153860","104200471615","105393837570","1193365955"
"034590","인천도시가스","550567","599213","48646","14087271650","15278918175","1191646525"
"404990","신한서부티엔디리츠","6957434","7434526","477092","24340539685","25524152508","1183612823"
"019170","신풍제약","89121036","89821534","700498","1193504544790","1194675175630","1170630840"
"085310","엔케이","791027189","790205366","-821823","1098905601403","1100066155328","1160553925"
"024900","디와이덕양","16946378","17307217","360839","42875972049","43900597420","1024625371"
"015260","에이엔피","103688724","105361518","1672794","55703454940","56685925953","982471013"
"002780","진흥기업","89201141","90341039","1139898","66708739260","67653994002","945254742"
"011390","부산산업","2241459","2241179","-280","200554582500","201490792650","936210150"
"002150","도화엔지니어링","6856390","7012228","155838","45109154450","46036756065","927601615"
"001620","케이비아이동국실업","17641066","19505614","1864548","8679130347","9587226276","908095929"
